x,code,domain,title,description,best_practice,function_01,kpi_01
18,UCN,Operations Management,Construction Management,"The process to manage utility construction including new or upgraded commodity service connections or construction for asset installation in relation to electrical lines, water mains and gas mains.","Centrally trigger construction pertinent events such as permit management, vegetation management, materials procurement, etc. Dispatch based on construction predecessor step completion for process efficiency. Digitally ensure that proper safety protocols are adhered to. Provide process transparency so that the appropriate internal and external stakeholders have access to construction process status.",Construction Project Management,↓ Construction Process Time
19,URG,Operations Management,Rates Management,The operational lifecycle deployment of rates as well as the application of rates to calculate bill determents against usage.,"Modularize rate structures such that changing one part of a rate does not create a domino effect of ballooning rate changes (e.g. change a tax calculation in a tax module that is referenced by rates effected by the tax, instead of changing the tax line item in every rate). Provide one rate engine for multiple rate calculation use cases (e.g. bill calculation and online rate comparison) to avoid deployment of new rates in multiple rate engines.",Rate Deployment,↓ Rate Deployment Time
20,UUN,Operations Management,Unmetered Commodity Management,"
The delivery of bulk (unmetered) commodity, (usually electric commodity for municipalities). Billing for the commodity is based on a calculated aggregate use estimate (e.g. number of street lights x wattage of each light x number of hours lights are on)","Periodically calculate actual usage based on commodity draw (e.g. leverage distribution transformer monitoring from source transformers to calculate aggregate use) to ensure proper bulk pricing. For electric commodity, where practical, install smart streetlight control technology with a metering feature to reduce unmetered footprint.",Bulk Commodity Use Estimation,↓ Actual Use to Billed Use Delta
21,UCF,Commodity Portfolio Management,Commodity Forecasting,"The process of modeling and predicting commodity consumption levels. Commodity forecasting models consider historical trends, weather trends, economic trends, commodity cost, demographics and changing commodity use trends (e.g. emergence of electric vehicles) to make commodity demand predictions.","Leverage collaboration tools and processes to bring together silos of forecasting activities such as planning, operations, marketing and customer service. Conform the data inputs that each forecast group uses to make possible a collaborative forecasting approach. Develop a feedback loop to that considers historical forecasting accuracy to inform forecast modeling.",Forecast Modeling,↑ Commodity Forecast Accuracy
22,UCT,Commodity Portfolio Management,Commodity Trading,The buying and selling of bulk commodity (e.g. electricity and natural gas) on open markets.,"Avoid short term commodity trading (to avoid cost spike risk) through accurate forecasting paired with long term contracts. When short term contracts are necessitated, employ hedging to reduce cost spike risk. Trade based on the true cost of the commodity (in this case, electricity) by calculating locational marginal pricing (which incorporates line loss and congestion risk cost).",Commodity Portfolio Risk Management,↓ Cost Spike Commodity Purchases
23,UPD,Customer Programs Management,Program Design,"The process of creating and iterating value-add products (e.g. commodity efficiency solutions, appliance maintenance & repair and appliance insurance), often with utility regulatory input or guidance.",Include technology stakeholders in program design to understand implementation costs and constraints as well as to develop as sustainably supported evolving program portfolio. Leverage a digital platform for programs such that new programs can leverage the platform with incremental changes.,Energy Savings Calculation,↑ Commodity Conservation
24,UPE,Customer Programs Management,Program Eligibility & Enrollment,The ability to determine customers' program eligibility and the process to enroll eligible customers into programs.,Automation of program eligibility determination. Digitize enrollment process through self-service channels. Proactively market programs to likely eligible customers using contemporary eMarketing approaches.,Program Enrollment,↓ Customer Program Enrollment Cost
25,UPG,Customer Programs Management,Program Governance & Compliance,The conformation of programs with stated requirements (including regulatory requirements) as well as the oversight (governance) to ensure program compliance.,Digitally track who is enrolled in each program and by what criteria they are eligible to ensure compliance with program requirements. Integrate with 3rd parties to obtain enrollment tracking information when 3rd parties are the enroller. ,Program Enrollee Tracking,↑ Program Enrollment Status
26,UDM,Customer Programs Management,Program Delivery Management,"The management of how a program is fulfilled, including fulfillment by 3rd parties, for residential and commercial customers.","Digitize processes for program delivery, providing onsite work instructions and capturing work information including via mobile device so that program fulfillers deliver consistent high quality. Digitize processes to ensure program fulfillment including self-service channels for enrollee fulfilment feedback.",Onsite Job Instructions,↑ CSAT
27,UST,Safety & Environmental Management,Safety Management,"The formalized procedures that prescribe steps, activities and situational awareness in performing a wide variety of utility work tasks and on the job circumstances, ranging from industrial safety management to dangerous goods management to worksite evacuation procedures to active shooter response.","Utilize repeated training to reinforce safety procedures. Digitize processes for consistency across multiple channels, including mobile. Capture user feedback for continual safety process improvement. Formalize incident investigation that provides analysis to improve safety procedures and reduce incident repetition.",Incident Analysis Management,↓ Safety Incident Occurrences
28,UEV,Safety & Environmental Management,Environmental Management,"The procedures and activities to minimize environment and ecological impacts from utility operations such as wildlife mitigation impact when land is disturbed, or environmental incident response to remediate contaminated sites.","Digitally track environmental impacts over time to access impact trends and redirect efforts on negative trends. Where possible, adjust time or geolocation of operations to minimize wildlife impacts (e.g. avoid migration territories during predicable seasonal migrations). Leverage AI vision to identify vegetation species impacts so environmental mitigation is effective as well as cost effective.",Environmental Impact Tracking,↓ Environmental Impact
29,URM,Compliance Management,Permit Management,"The process to obtain, track and store municipal permits for utility-based work.",Digitize the data collection and data entry process to reduce or eliminate paperwork. Streamline the data capture process to make the utility permitting process more expeditious. Digitize the storage and retrieval of permits including mobile device access. Use the same permit process across commodity business units (e.g. electric and gas) to gain further efficiencies.,Permit Application,↓ Permit Processing Time
30,UCA,Compliance Management,Compliance & Audit,The controls and processes to comply with regulatory requirements and demonstrate compliance auditing procedures.,"Digitize compliance and auditing process, including the automation of audit trails, that streamline procedures and information gathering from internal compliance and audit stakeholders while positioning audit self-service reporting by internal stakeholders.",Audit Trail Creation,↓ Non-compliance Occurrences 
31,UER,Compliance Management,Enterprise Records Management,"The process of classifying, retaining and providing access to records in compliance with legal, regulatory and corporate policies as well as purging records after all retention requirements and business needs have been exhausted.",Leverage reusable digitized records processes in leu of paper-based records. Automate retention periods and purge procedures based on records classification. Digitize the provisioning of records access for internal and external users.,Records Classification,↓ Non-compliance Occurrences 
32,URT,Compliance Management,Regulatory Management,"The defining, negotiating and incorporating regulatory requirements into executable investments and procedures.","Flexible systems that can be cost effective and quickly extended will position utilities to not only efficiently implement regulatory requirements, but also will allow for innovate recommendations to regulators on ways to best serve customers.",Regulatory Requirements Definition,↑ Regulatory Fulfilment Volume
33,UUM,Procurement and Logistics Management,Supplier Management,"The managing of 3rd-party organizations that supply goods and/or services, ensuring that value is received for the money that an organization spends.",Formalize procedures that estimate expected value before purchase and look back to measure actual value received at some period after purchase so that the expected value can be compared to the value received. This will provide a data driven way to inform an organization’s supplier management activities and decisions throughout the supplier relationship.,Supplier Governance,↑ Supplier Value
34,UPO,Procurement and Logistics Management,Purchase Order Management,The purchase of operational assets and other items from suppliers that are needed to deliver goods and services or otherwise aid in an organization's operations.,"Digitize the purchase process to provide a centralized view of purchase activities, route approval flows, and automatically match purchase orders, purchase requests and invoices for purchase closure. This will shorten the purchase lifecycle and can prevent unauthorized purchases when compared to manual purchase processes.",Purchase Order Contract Management,↓ Purchase Processing Time
35,ULS,Procurement and Logistics Management,Logistics Strategy Management,"The planning and coordination of asset procurement, asset warehousing, asset transport and facilities.","Holistically consider worker safety and productivity, warehousing location optimization, transport efficiency and facility maintenance needs. Develop and utilize metrics to expose logistics bottlenecks and inefficiencies. Employ continuous improvement to remedy logistics inefficiencies.",Inventory Management,↓ Average Duration of Storage
36,UFM,Procurement and Logistics Management,Fleet Management,"The storage, maintenance, transport, fueling sign-in/sign-out, and tracking of vehicles for both general purpose and specific work types.",Use GPS enabled tracking to track entire fleet in real time with route monitoring and geofencing to ensure the most efficient routes are taken. Leverage automated driver safety monitoring and feedback technology. Manage fuel costs by automatically identifying the most fuel-efficient vehicle needed to perform all job requirements and employing comprehensive vehicle maintenance.,Fleet Operations,↓ Driver Incident Occurrences
37,UFP,Real Estate & Facility Management,Facility Planning,"The analysis and future state development to plan out facilities based on business needs, capacity, location as well as what assets may be needed as part of facilities and what work may need to be performed within the facilities.","Leverage a data driven approach, calculating efficiency and utilization for capacity planning and facility needs analysis. Leverage digital collaboration for stakeholders to identify critical paths in construction planning. Balance proximity to customers, suppliers, and skilled labor, facility location costs, and potential expansion needs when planning facility locations.",Capacity Planning,↑ Facility Utilization %
38,URE,Real Estate & Facility Management,Real Estate Owned and Lease Management,"The procurement, sale, leasing and maintenance of real estate needed for utility facilities and owned or leased land.","Leverage a data driven, risk-based approach for planned (predative and preventative) maintenance to minimize reactive maintenance in facilities. Efficiently operated facilities as well as efficiently located facilities equate to lower costs, lower emissions, and a lower carbon footprint.",Facilities Management,↓ Unplanned Facilities Maintenance
